Year,Mean_CPUE_kg_hour,Median_CPUE_kg_hour
2003,0.49271291346788887,0.31834276695999997
2004,0.33026425555824457,0.26233292332444447
2005,0.4030664527468395,0.4014510497888889
2006,0.4582609296098766,0.44029500913333336
2010,0.02017148871219557,0.01742839901111111
2011,0.03459736924895977,0.03123217060769231
2012,0.03572839020003203,0.03123217060769231
2013,0.30441449271092863,0.19638408095555557
2014,1.445510022368504,0.88216281175
